id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
616001;21/07/2024;domingo;18:00:00;BA;101;273;SANTO ANTONIO DE JESUS;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Simples;Curva;Não;2;0;2;0;0;0;2;1;-13,050027;-39,285166;SPRF-BA;DEL01-BA;UOP02-DEL01-BA
616003;21/07/2024;domingo;19:00:00;RN;406;147;CEARA-MIRIM;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;4;0;0;3;0;1;3;3;-5,64619702;-35,459121;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
616005;21/07/2024;domingo;17:30:00;PR;376;213,3;MANDAGUARI;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Curva;Não;3;0;1;2;0;0;3;1;-23,567267;-51,654742;SPRF-PR;DEL09-PR;UOP01-DEL09-PR
616007;21/07/2024;domingo;18:00:00;RS;470;184;VERANOPOLIS;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;"Aclive;Reta";Sim;2;0;1;0;1;0;1;2;-28,99615608;-51,55829913;SPRF-RS;DEL06-RS;UOP02-DEL06-RS
616009;21/07/2024;domingo;19:30:00;SC;101;201,9;SAO JOSE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;0;0;1;1;0;2;-27,54836599;-48,61977975;SPRF-SC;DEL01-SC;UOP01-DEL01-SC
616010;21/07/2024;domingo;19:15:00;SP;116;288;ITAPECERICA DA SERRA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-23,719254;-46,883144;SPRF-SP;DEL04-SP;UOP01-DEL04-SP
616012;21/07/2024;domingo;19:00:00;MT;163;600;NOVA MUTUM;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-13,90778505;-56,09190462;SPRF-MT;DEL01-MT;UOP01-DEL01-MT
616015;21/07/2024;domingo;20:10:00;RJ;101;308;SAO GONCALO;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;1;-22,79309326;-43,02479595;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
616016;21/07/2024;domingo;20:00:00;BA;101;905;IBIRAPUA;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;2;0;0;2;0;0;2;1;-17,76993;-39,77567;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
616018;21/07/2024;domingo;20:30:00;MG;459;90,2;CONGONHAL;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;8;1;2;1;2;2;3;4;-22,157057;-46,007881;SPRF-MG;DEL09-MG;UOP01-DEL09-MG
616019;21/07/2024;domingo;14:30:00;RO;364;394,2;JARU;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;1;1;0;1;2;-10,3972864;-62,521344;SPRF-RO;DEL03-RO;UOP02-DEL03-RO
616020;21/07/2024;domingo;17:02:00;MT;163;746;SORRISO;Reação tardia ou ineficiente do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Rotatória;Não;2;0;0;1;1;0;1;2;-12,59825027;-55,74765444;SPRF-MT;DEL06-MT;UOP01-DEL06-MT
616021;21/07/2024;domingo;20:30:00;ES;101;280;SERRA;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;1;1;0;0;0;0;0;1;-20,21828666;-40,34895595;SPRF-ES;DEL02-ES;UOP01-DEL02-ES
616022;21/07/2024;domingo;20:30:00;PR;116;153;MANDIRITUBA;Transitar na contramão;Colisão frontal;Sem Vítimas;Plena Noite;Crescente;Nublado;Simples;Curva;Sim;2;0;0;0;1;1;0;2;-25,83870564;-49,34314731;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
616023;21/07/2024;domingo;16:50:00;MG;262;410;IGARATINGA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Anoitecer;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;0;0;1;0;0;1;-19,88686179;-44,63193985;SPRF-MG;DEL08-MG;UOP03-DEL08-MG
616024;21/07/2024;domingo;20:45:00;GO;153;518;APARECIDA DE GOIANIA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;1;0;0;0;1;0;0;1;-16,867;-49,2505;SPRF-GO;DEL01-GO;UOP03-DEL01-GO
616025;21/07/2024;domingo;13:00:00;MG;116;235;TEOFILO OTONI;Transitar na contramão;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Simples;Reta;Não;4;0;1;2;1;0;3;2;-17,52941785;-41,48264755;SPRF-MG;DEL11-MG;UOP01-DEL11-MG
616026;21/07/2024;domingo;19:40:00;PB;230;1,4;CABEDELO;Ingestão de álcool pelo condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-6,9805391;-34,83037233;SPRF-PB;DEL01-PB;UOP01-DEL01-PB
616027;21/07/2024;domingo;19:30:00;ES;101;287,7;CARIACICA;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Curva;Sim;4;0;4;0;0;0;4;1;-20,26493528;-40,38471702;SPRF-ES;DEL01-ES;UOP01-DEL01-ES
616028;21/07/2024;domingo;20:28:00;PA;316;61,4;CASTANHAL;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;1;0;2;0;1;2;-1,29686015;-47,94639002;SPRF-PA;DEL01-PA;UOP01-DEL01-PA
616029;21/07/2024;domingo;19:49:00;SC;470;57,6;BLUMENAU;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;"Viaduto;Interseção de Vias";Sim;2;0;0;0;1;1;0;2;-26,880428;-49,136532;SPRF-SC;DEL04-SC;UOP01-DEL04-SC
616031;21/07/2024;domingo;19:25:00;RS;116;563,8;PEDRO OSORIO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Interseção de Vias;Reta";Não;4;0;2;0;2;0;2;2;-31,92367885;-52,71699026;SPRF-RS;DEL07-RS;UOP03-DEL07-RS
616032;21/07/2024;domingo;20:40:00;SC;101;232,7;PALHOCA;Falta de acostamento;Capotamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Declive;Não;2;0;2;0;0;0;2;1;-27,795666;-48,638153;SPRF-SC;DEL01-SC;UOP02-DEL01-SC
616033;21/07/2024;domingo;17:40:00;AL;316;250,6;ATALAIA;Ingestão de álcool pelo condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-9,55605726;-35,97591943;SPRF-AL;DEL01-AL;UOP01-DEL01-AL
616034;21/07/2024;domingo;16:10:00;AL;316;240,9;ATALAIA;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Sim;2;0;0;0;2;0;0;1;-9,506847;-36,03204998;SPRF-AL;DEL01-AL;UOP01-DEL01-AL
616035;21/07/2024;domingo;21:10:00;PR;277;637,8;CEU AZUL;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Rotatória;Reta";Sim;10;0;2;0;8;0;2;2;-25,157228;-53,85045;SPRF-PR;DEL05-PR;UOP02-DEL05-PR
